題號,題目,選項A,選項B,選項C,選項D,答案
487,中國大陸北方因燃燒化石燃料而易形成「酸雨」。上述現象，主要發生在臺灣哪一季節？,春季,夏季,秋季,冬季,D
488,我們日常生活中常接觸的發票，有可能含有哪種環境荷爾蒙?,雙酚A,壬基酚,戴奧辛,十溴二苯醚,A
489,下列哪一項是造成墨西哥灣海洋死區(deadzone)的主因？,全球暖化造成,漁民大量捕撈魚群,藻類過度繁殖造成,海底火山爆發,C
490,臺灣東部海域是什麼？,太平洋,福建海峽,巴士海峽,東海,A
491,下列哪一項指標為臺灣水庫水質優養化程度指標？,RPI,CPI,CTSI,WQI,C
492,以下哪些天然災害經常發生在板塊邊界？(A)火山 | (B)地震 | (C)大型山崩與堰塞湖 | (D)沙塵暴。,[A],[AB],[ABC],[ABCD],C
493,下列有關「空氣污染」的敘述，哪個選項是「錯誤」的？,PSI值超過100對人體健康會造成影響,懸浮微粒含量高而降低能見度，這種現象稱為「靄」,政府對於懸浮微粒主要來源區，會加強稽查和清掃,環保機關會依不同的營建工程徵收空氣污染防制費,B
494,下列何者「不屬於」綠色商品？,獲得能源標章產品,獲得環保標章產品,獲得綠建築標章產品,獲得CNS標章產品,D
495,聲音超過多少分貝就會影響人的睡眠品質?,40分貝,60分貝,70分貝,80分貝,A
496,多溴二苯醚的化學結構類似戴奧辛，請問以下何者為其特性?,具持久性,不易分解,易生物累積,以上皆是,D
497,依據我國空氣污染防制法施行細則分類，下列何者不屬於粒狀污染物？,油煙,懸浮微粒,臭氧,酸霧,C
498,於海岸棄置廢棄物，對海洋生物棲地造成嚴重破壞，違規棄置垃圾可依下列何者法規處以罰鍰?,環境教育法,廢棄物清理法,水污染防治法,資源回收再利用法,B
499,為處理垃圾爆量問題環境部擬於2023年提出《資源循環促進法》來因應，下列對此法案的敘述何者錯誤？,此法案係將《廢棄物清理法》及《資源回收再利用法》整併,此法案目地在翻轉廢棄物定義，推動資源極大化，廢棄物極小化,此法擬對不具再利用價值的廢棄物，公告為政府責任物，由政府吸收處理費用,此法也會對汙染環境的業者加重其刑責,D
500,下列哪一個是造成河川有太多養分的原因？,排泄物流入河川,石油流入河川,重金屬流入河川,廢熱流入河川,A
501,我們群組名稱為何？,115年環境知識競賽,115年環境知識比賽,115年環保知識競賽,115年環保知識比賽,A
502,我們群組有幾個人？,8個,9個,10個,11個,C
503,暑假練習在每周的哪兩天？,"三,五","二,四","一,六","一,四",D
504,暑假練習一次有多少題？,30題,50題,70題,100題,B
505,下列哪種做法可以防止土石流發生？,在山坡地上蓋民宿,做好水土保持,將山坡地闢建成果園,大量砍伐森林,B
506,某國家具有下列哪種特點，比較有可能面臨人口老化的社會問題？,教育水準低,死亡率高,出生率低,國民所得低,C
507,廢機油應該如何處理較為適當？,倒進馬桶,拿去附近的機車行回收,在水槽沖洗掉,倒入排水溝,B
508,下列何者「不能」減輕溫室效應？,大量燒煤，以解決能源問題,提倡使用節能技術和節能產品,植樹造林，嚴禁亂砍濫伐森林,提倡公共交通或步行方式出行,A
509,造成臺灣南部濱海地區地層下陷最主要的原因為何？,當地房子蓋得太重,居住人口太多,養殖業超抽地下水,時常發生地震,C
