題號,類別/階段,題目,選項A,選項B,選項C,選項D,正確答案,完整解析
405,暑期練習7/27,下列何者不是臺灣「2050 淨零排放」十二項關鍵戰略？,前瞻能源,海洋保育,公正轉型,綠色金融,(B) 海洋保育,"【正確解析】國發會公布之「臺灣2050淨零排放路徑」包含12項關鍵戰略：1.風電/光電、2.氫能、3.前瞻能源、4.電力系統與儲能、5.節能、6.碳捕捉利用及封存(CCUS)、7.運具電動化及無碳化、8.資源循環零廢棄、9.自然碳匯、10.淨零綠生活、11.綠色金融、12.公正轉型。「海洋保育」雖為重要環境保護工作，但不屬於這12項特定戰略名稱（海洋吸碳歸屬於自然碳匯/藍碳）。
【其他選項解析】前瞻能源（地熱、海洋能、生質能等）、綠色金融、公正轉型皆名列12項關鍵戰略之中。"
406,暑期練習7/27,過去大安森林公園曾經捕捉到鱷魚。推測鱷魚出現的來源為何？,遭民眾棄養的寵物,公園內原有的生物,政府引入用來增加公園內生物多,學術單位進行的保育研究,(A) 遭民眾棄養的寵物,"【正確解析】大安森林公園水池中出現的鱷魚（如眼鏡凱門鱷等）屬於外來物種，源自部分民眾將幼鱷當作特殊寵物飼養，長大後因體型龐大、具攻擊性或無力照顧而隨意棄養至公園水塘。外來種棄養會破壞本土水域生態並嚴重危害遊客安全。
【其他選項解析】臺灣本島都市公園並無原生鱷魚分佈；政府絕不會引進兇猛外來掠食動物來增加生物多樣性；亦非學術單位之野放研究。"
407,暑期練習7/27,下列何者為泰雅族傳統織布的重要原料？,棉花,亞麻,黃麻,苧麻,(D) 苧麻,"【正確解析】泰雅族以精湛的傳統編織工藝聞名，其織布最核心的天然植物纖維原料為「苧麻」（Boehmeria nivea）。泰雅婦女自古栽植苧麻，經剝皮取纖、刮麻、曬麻、撚紗、紡線、染色等繁複工序後，利用水平背帶織布機織造出具族群象徵（如祖靈之眼、彩虹橋紋飾）之精美布料。
【其他選項解析】棉花、亞麻、黃麻均非臺灣原住民族泰雅族自古傳統自產織布的主要原料。"
408,暑期練習7/27,以下哪一項飲食行為最符合低碳飲食原則？,食用高級進口和牛,食用在地當季水果,食用網購外送餐點,食用精緻烘焙甜點,(B) 食用在地當季水果,"【正確解析】低碳飲食（Low Carbon Diet）的核心原則為「地產地消、選擇當季、多蔬食少加工」。「食用在地當季水果」不僅免除了跨國長途空運與海運所產生的龐大食物里程（Food Miles）與冷鏈溫室氣體排放，且當季種植無須耗費大量溫室空調保溫，碳足跡最低。
【其他選項解析】
• 進口和牛：牛隻反芻產生大量甲烷（強效溫室氣體），且跨國冷鏈運輸碳足跡極高。
• 網購外送餐點：包含一次性餐具包裝與機車運送之額外碳排。
• 精緻烘焙甜點：高度加工且使用大量進口奶製品與糖，碳足跡相對偏高。"
409,暑期練習7/27,研究指出，碳排放增加使氣候系統變得不穩定，進而加劇自然災害的發生。下列哪一項策略最有助於從源頭減緩這類災害的發生？,鼓勵使用再生能源,興建海水淡化廠以應對乾旱,加強預警系統以提早應對災害,設置消波塊以減緩海岸侵蝕,(A) 鼓勵使用再生能源,"【正確解析】應對氣候變遷的策略分為「減緩」（Mitigation，從源頭減少溫室氣體排放）與「調適」（Adaptation，提升承受氣候災害的韌性）。鼓勵使用太陽能、風能等無碳或低碳再生能源取代化石燃料，能直接從能源端大幅削減二氧化碳排放，達到「源頭減緩」氣候變遷與極端災害的效果。
【其他選項解析】興建海淡廠、建置預警系統、設置消波塊均屬於災害發生後的「調適與工程防禦措施」，無法減少大氣中的溫室氣體排放。"
410,暑期練習7/27,DDT造成生物放大效應的原因為何？,因DDT在生物體內無法分解，在生物體內的濃度隨著食物鏈的階層逐漸增加,因高級消費者體內分解DDT的能力較生產者低,因為較大型的動物偏好捕食具DDT的生物,因DDT使受污染生物的總生物量增大,(A) 因DDT在生物體內無法分解，在生物體內的濃度隨著食物鏈的階層逐漸增加,"【正確解析】「生物放大效應」（Biomagnification / 生物濃縮）是指具脂溶性、化學性質穩定且生物體內缺乏分解酵素的化學污染物（如DDT、戴奧辛、甲基汞等），在被初級生物吸收後儲存於脂肪組織中，隨著食物鏈營養階層逐級向上傳遞，在頂級掠食者體內累積至極高濃度的現象。
【其他選項解析】生物放大效應是因食物網能量金字塔轉移過程中毒素無法代謝累積所致，並非高級消費者分解能力差、掠食偏好或生物量增大。"
411,暑期練習7/27,下列何者不是環保標章產品的特性？,可回收,較貴,省資源,低污染,(B) 較貴,"【正確解析】我國環保標章的核心理念為「一片綠葉包裹著純淨的地球」，象徵「低污染、省資源、可回收」的綠色消費訴求。環保標章產品強調全生命週期對環境友善，其售價取決於市場機制，並非以「較貴」為產品特性；許多節能與省水標章產品在長期使用中更能為消費者節省水電開銷。
【其他選項解析】可回收、省資源、低污染為環保標章官方明定的三大核心評估面向。"
412,暑期練習7/27,若在模擬情境中，發現未來海平面上升1公尺，造成大量人口需遷移。政府應採取下列哪項策略較為有效？,禁止媒體報導災情,放任居民自行搬遷,停止所有農業活動,規劃遷村與都市轉型,(D) 規劃遷村與都市轉型,"【正確解析】面對海平面上升導致的永久性沿海淹浸與海岸線後退，最具前瞻性與系統性的氣候調適策略為推動「規劃性遷村安置」與「耐災韌性都市轉型」，透過國土空間重劃引導居民安全撤離易淹區，並配合新市鎮基礎設施建設保障民眾生計與生命安全。
【其他選項解析】隱匿災情、放任不管或全面廢除農業均屬不負責任且具破壞性的消極手段，無助於解決氣候難民與國土調適問題。"
413,暑期練習7/27,以下關於海水淡化的敘述，何者不正確？,海水淡化又稱為海水脫鹽,海水淡化的目的主要是為了提供民生用水,台灣目前的海水淡化廠大多數設立在淡水資源較不足的離島,海水淡化會導致海平面下降，減緩氣候變遷帶來的衝擊,(D) 海水淡化會導致海平面下降，減緩氣候變遷帶來的衝擊,"【正確解析】全球海水淡化所抽取的海水量相對於浩瀚的全球海洋總水量極其微不足道，且淡化後生產的水經民生或工業使用後，最終仍會經由逕流與水循環重返海洋，完全不會造成全球海平面下降，更無法減緩氣候變遷（海淡屬高耗能製程，反而需注意碳排與濃滷水排放衝擊），故選項D錯誤。
【其他選項解析】
• 海水淡化（Desalination）確實又稱海水脫鹽。
• 主要用於解決水資源匱乏地區的民生與工業供水需求。
• 臺灣現行大型海淡廠多優先建置於澎湖、金門、馬祖等淡水匱乏的離島地區。"
414,暑期練習7/27,與自然萬物和諧共處，以「燒墾游耕」方式放火燒草而不施肥，請問這是哪一族群的傳統農耕技法？,泰雅族,平埔族,西拉雅族,邵族,(A) 泰雅族,"【正確解析】臺灣高山原住民族泰雅族（Atayal）傳統上採用「燒墾游耕」（火耕輪休制 / Swidden agriculture）。泰雅族人在向陽坡地砍伐雜木並放火焚燒，利用天然草木灰作為土壤養分而不施加化肥，栽種小米、甘藷數年後隨地力衰退即休耕並遷至他處，讓土地自然休養生息，體現了順應土地承載力的生態智慧。
【其他選項解析】平埔族群（如西拉雅族）多居住於平原盆地，以定耕水旱田農作為主；邵族則居住於日月潭周邊，以水沙連農漁採集為生。"
415,暑期練習7/27,下列何者是目前臺灣生物資源遭受威脅的主因之一？,生物因天擇被淘汰,因原生生物彼此競爭大，導致物種減少,土地過度開發或不當利用,遭到天敵捕獵,(C) 土地過度開發或不當利用,"【正確解析】棲地破壞與破碎化（Habitat Loss and Fragmentation）是當前全球與臺灣生物多樣性面臨的最大威脅。人類進行山坡地超限利用、農地擴張、道路切割林地及濕地填平等人為土地過度開發，直接摧毀野生動植物的棲息地與繁殖場所，造成物種族群急劇萎縮。
【其他選項解析】自然天擇淘汰、原生種內部競爭與天敵捕食皆屬於自然生態系中長期的動態演化平衡機制，並非造成近代物種大規模瀕危的主因。"
416,暑期練習7/27,人類常會利用各種地形從事適合的活動，下列哪一項開發與地殼曾經有過的隆升作用無關？,半屏山的水泥工廠,長濱海蝕洞內的廟宇,花東海階上的聚落,蘭陽平原上的水田,(D) 蘭陽平原上的水田,"【正確解析】蘭陽平原（宜蘭平原）是由蘭陽溪等河流搬運大量泥沙至出海口堆積而成的「沖積平原」，其構造屬於沖繩海槽西端擴張形成的張裂下陷盆地，水田開發是利用平坦肥沃的沖積地形，與地殼隆升作用無關。
【其他選項解析】
• 半屏山：為隆起之古珊瑚礁石灰岩，因板塊擠壓隆升出海面後被開採製成水泥。
• 長濱海蝕洞（八仙洞）：原為海浪侵蝕形成的海蝕洞，隨海岸地殼間歇性隆起抬升至高處。
• 花東海階：為板塊擠壓造山帶中，海岸波蝕棚隨地殼持續間歇隆升形成的階梯狀地形。"
417,暑期練習7/27,每逢秋、冬季節，臺灣各個河口形成賞鳥最佳地點。若要欣賞大量「黑面琵鷺」過冬景象，以下何處最有機會？,高屏溪口,大甲溪口,曾文溪口,淡水河口,(C) 曾文溪口,"【正確解析】臺南「曾文溪口」（包含七股濕地、頂頭額汕及台江國家公園黑面琵鷺保護區）擁有廣袤的泥灘潮間帶與停養魚塭，底棲生物與小魚蝦豐富，是全球黑面琵鷺最重要的度冬棲息地，每年秋冬均吸引全球超過半數以上的黑面琵鷺族群前來度冬。
【其他選項解析】高屏溪口、大甲溪口、淡水河口雖亦有候鳥停棲，但黑面琵鷺族群數量遠不如曾文溪口集中。"
418,暑期練習7/27,下列對於自然資源保育的敍述哪一項是「錯誤」的？{...}>自然資源依其形成的特徵和被人類利用時間的長短，...[...]>有限的自然資源中，一部分是...,{...}可分為可再生資源及非再生資源兩類,可再生的自然資源是指在一定時間內透過自然生產或其他循環過程來補充,[...]可更新的，如水、土壤、動物、植物等，故不需要特別珍惜,[...]不可更新的，如泥炭、煤、石油、各種礦物等，在地球的存量有限，故應合理的利用,(C) [...]可更新的，如水、土壤、動物、植物等，故不需要特別珍惜,"【正確解析】可更新/可再生資源（如淡水、肥沃土壤、森林植被、野生動植物等）雖然具有自我修復與自然循環補充的能力，但若人類過度開發、濫伐濫捕或嚴重污染超過其環境承載力與再生速率，可再生資源依然會枯竭或永久退化（如地下水超抽枯竭、土地沙漠化、物種滅絕），因此依然必須格外珍惜並永續管理，故選項C敘述錯誤。
【其他選項解析】A、B、D選項對可再生與非再生自然資源之定義與合理利用原則敘述皆正確。"
419,暑期練習7/27,土石流災害之發生，乃因泥、砂、礫及巨石等地質材料與水之混合物受重力作用後產生流動所造成之災害，其發生包括一些要件，下列哪一項描述「不是」相關要件？,足夠的上游堆積物,有效的河床坡度,充足的水量,水土保持良好,(D) 水土保持良好,"【正確解析】土石流發生的三大必備物理要件為：1. 豐富鬆散的固體土石材料（充足的堆積物）；2. 充足的水分（強降雨提供潤滑與流動流體介質）；3. 足夠的坡度（通常在15度至30度之間，受重力驅動流動）。「水土保持良好」具有穩固邊坡、增強植被抓地力之防護功能，是「抑制」土石流發生的條件，而非誘發要件。
【其他選項解析】足夠堆積物、有效坡度、充沛水量皆為土石流發生的必要要件。"
420,暑期練習7/27,台灣雖有多座水庫，但仍經常出現缺少危機，以下關於水庫的敘述何者正確？,缺水主要是因為原本興建的水庫太小，無法續存足夠的水量,由於許多水庫泥沙淤積嚴重，降低了原本水庫的蓄水量,水庫興建位置錯誤，因此無法蓄積足夠的水量,水庫的水量都作為發電用途，無法提供給民生及工業用水使用,(B) 由於許多水庫泥沙淤積嚴重，降低了原本水庫的蓄水量,"【正確解析】臺灣地質年輕破碎、地震頻繁且集水區坡陡流急，逢颱風豪雨極易引發山崩與水土流失，大量泥沙隨洪水沖入水庫造成嚴重泥沙淤積（如石門水庫、曾文水庫等），大幅削減了水庫的有效蓄水容量，成為枯水期供水緊張的主因。
【其他選項解析】
• 臺灣缺水主因為降雨時空分佈不均與淤積問題，非水庫設計容量過小或位置全錯。
• 水力發電為水庫多目標利用之一，發電後尾水仍可供民生、農業及工業使用。"
421,暑期練習7/27,為了達到源頭減量，環境部於112年7月訂定了哪一項限制，並在114年1月1日起正式生效？,旅宿業不得主動提供一次性個人用品。,菜市場不得主動提供塑膠袋給民眾。,網購包裝材料不可使用含聚氯乙烯塑膠材質。,全國飲料店全面禁用一次性塑膠杯。,(A) 旅宿業不得主動提供一次性個人用品。,"【正確解析】環境部於民國112年（2023年）7月17日公告「一次用旅宿用品限制使用對象及實施方式」，規範觀光旅館業、旅館業、民宿等業者自民國114年（2025年）1月1日起，不得主動提供容量小於180毫升的洗髮乳、潤髮乳、沐浴乳及乳液等液態盥洗品，亦不得主動陳列梳子、牙刷、牙膏、刮鬍刀、刮鬍膏及浴帽等一次性個人衛生用品。
【其他選項解析】網購包材減量規定自112年7月1日生效；飲料店禁用一次用塑膠杯由各縣市於113年底前陸續推動完畢。"
422,暑期練習7/27,一場颱風重創台灣，造成嚴重災損。由於重建資源有限，政府在分配資源時，若要落實「氣候正義」的理念，應優先考量哪一群體？,擁有保險的富人家庭,無家可歸的弱勢族群,房地產開發商,股市投資客,(B) 無家可歸的弱勢族群,"【正確解析】「氣候正義」（Climate Justice）強調氣候變遷衝擊與資源分配的公平性。社會與經濟弱勢族群（如偏鄉居民、無家可歸者、低收入戶）通常碳排放最少，但在面對極端氣候災害時承受的打擊最沉重且缺乏自力復原與調適資源，政府在資源分配上應優先提供救助與重建支援。
【其他選項解析】富人家庭多具商業保險與高風險承受能力；開發商與投資客非人道公共救濟優先對象。"
423,暑期練習7/27,卡式爐瓦斯罐用完後，應當以『完、包、警、收』四步驟進行處理，請問關於口訣的意義，何者「錯誤」？,完：確認用完,包：單獨打包,警：加註示警,收：不可回收,(D) 收：不可回收,"【正確解析】高壓瓦斯罐回收安全四步驟「完、包、警、收」中，「收」代表「交給清潔隊回收人員回收」。瓦斯罐屬於高壓金屬容器，確認耗盡後獨立打包並加註警語，交付清潔隊資源回收車回收，切勿混入一般垃圾以防垃圾車壓縮引發爆炸火災，故選項D（不可回收）錯誤。
【其他選項解析】完＝確認殘氣用盡、包＝獨立打包、警＝加註高壓瓶示警字樣，皆為正確步驟。"
424,暑期練習7/27,「潮汐發電」的發電原理為何？,利用海水的溫差,利用海水的波動,利用海流的流動,利用海水的水位差,(D) 利用海水的水位差,"【正確解析】潮汐發電（Tidal Power）是在潮差顯著的海灣或河口築壩建造水庫，利用月球與太陽引力引起的漲潮與落潮週期所產生的「海水水位高度差（位能）」，引導水流進出推動水輪機旋轉帶動發電機發電。
【其他選項解析】
• 海水溫差：海洋溫差發電（OTEC）。
• 海水波動：波浪發電（Wave Power）。
• 海流流動：洋流/海流發電（Ocean Current Power）。"
425,暑期練習7/27,請問我國哪座國家公園地形由花崗岩、紅土臺地及海岸低地所組成？,台江國家公園,金門國家公園,太魯閣國家公園,雪霸國家公園,(B) 金門國家公園,"【正確解析】金門國家公園是我國首座以維護歷史文化、戰役史蹟及自然生態保育為宗旨的國家公園。其地質基底主要為中生代的花崗岩與花崗片麻岩，地表則廣泛覆蓋第四紀紅土臺地堆積層及四周平緩的海岸低地沙灘與泥灘。
【其他選項解析】台江為沙洲濕地與潟湖；太魯閣為大理石變質岩高山峽谷；雪霸為高山板岩地質。"
426,暑期練習7/27,為什麼每個人都應該參與減緩氣候變遷的行動？,因為氣候變遷只影響其他國家,個人行動無法改變氣候變遷,每個人的小行動累積起來可以帶來正面改變,氣候變遷只需要政府處理，和人民無關,(C) 每個人的小行動累積起來可以帶來正面改變,"【正確解析】氣候變遷是全球性且攸關每個人的生存危機。個人的綠色生活實踐（如節約能源、搭乘公共運輸、惜食減廢、自備環保用具）匯聚成龐大的社會力量，不僅能直接降低碳排，還能透過綠色消費驅動產業與政府政策加速轉型。
【其他選項解析】氣候變遷影響遍及全球；個人行動具有群聚效應；氣候行動需要政府、企業與全體公民共同承擔。"
427,暑期練習7/27,颱風來臨時容易造成土石流災害，其主要原因是下列何者？,颱風氣流引發海水倒灌，使土石遭侵蝕鬆動,颱風帶來短時強降雨，沖刷土石造成鬆動,颱風引發地震，使土石鬆動,颱風造成颳強風，使土石被吹落,(B) 颱風帶來短時強降雨，沖刷土石造成鬆動,"【正確解析】颱風伴隨的極端「短時強降雨」或長時間超大豪雨，會使大量雨水迅速滲入山坡地表層土壤，導致孔隙水壓力驟增、土壤抗剪強度急降，同時地表逕流強烈沖刷崩塌地的鬆散土石，促使土石與水混合受重力作用沿野溪高速流下形成土石流。
【其他選項解析】土石流主要發生在山區野溪流域，與海水倒灌無關；颱風不會引發地震；強風非引發流體流動之主因。"
428,暑期練習7/27,1987年聯合國提出《我們的未來》報告書，其中指出「永續發展」的理念是？,完全禁用一次性餐具,各國減少硫化物排出量及削減氮氧化物30%,2008~2012年達到二氧化碳減量5~8%,滿足當代需求，且不損及後代滿足其需要之發展,(D) 滿足當代需求，且不損及後代滿足其需要之發展,"【正確解析】1987年聯合國世界環境與發展委員會（WCED）發表《我們共同的未來》（Our Common Future，亦稱布倫特蘭報告），正式提出「永續發展」（Sustainable Development）的經典定義：「既能滿足當代人的需求，又兼顧不損害後代人滿足其需求能力的發展模式」。
【其他選項解析】禁用一次性餐具為單一源頭減量措施；削減硫氧化物為區域空污協定；二氧化碳減量5.2%為《京都議定書》第一承諾期目標。"
429,暑期練習7/27,下列何者「不是」飲用水水質標準中物理性之標準項目？,臭度,濁度,硬度,色度,(C) 硬度,"【正確解析】我國《飲用水水質標準》分類中：
• 「物理性標準項目」包含：濁度（Turbidity）、色度（Color）、臭度（Odor）。
• 「總硬度（Hardness）」反映水中鈣、鎂等金屬離子濃度，歸類為「化學性標準項目（影響適飲性物質）」，因此硬度不是物理性項目。
【其他選項解析】臭度、濁度、色度皆為典型的物理性水質檢驗標準。"
430,暑期練習7/27,下列關於微生物的說明，何者錯誤？,指人類肉眼看不見的微小生物，但不包含藻類。,十七世紀雷文霍克發明顯微鏡，人類才看到微生物的真面目。,腸道中的微生物，比人體全身的細胞還要多！,腸道中的微生物可促進人體的養分吸收。,(A) 指人類肉眼看不見的微小生物，但不包含藻類。,"【正確解析】微生物廣泛包含細菌、古菌、真菌、病毒以及單細胞原生生物與「微藻」（如矽藻、單細胞綠藻等），因此「不包含藻類」的敘述是錯誤的。
【其他選項解析】
• 17世紀荷蘭科學家雷文霍克自製顯微鏡首次觀察到微生物。
• 人體腸道微生物菌群數量龐大（約數十兆個），甚至超過人體自體細胞數。
• 腸道菌群能協助消化膳食纖維、合成維生素並促進養分吸收。"
431,暑期練習7/27,公害病是指因公害而生的各種疾病，請問下列何者「不是」公害病？,油症,烏腳病,痛痛病,黃熱病,(D) 黃熱病,"【正確解析】「公害病」是指因人類活動排放之環境污染物（化學毒物、重金屬等）造成人體受害的疾病。「黃熱病」（Yellow Fever）是由黃熱病毒引起的急性蚊媒傳染病（生物病原體感染），非環境公害所致。
【其他選項解析】
• 油症：食用遭多氯聯苯（PCB）及多氯二苯并呋喃污染之米糠油引起的公害中毒。
• 烏腳病：臺灣西南沿海飲用高含砷深井水引起的慢性砷中毒公害病。
• 痛痛病：日本富山縣神通川流域受鎘污染引起的重金屬公害病。"
432,暑期練習7/27,如果垃圾掩埋場沒管理好，垃圾滲出水流出來，最容易汙染哪一種資源？,空氣,聲音,地下水,能源,(C) 地下水,"【正確解析】垃圾掩埋場內的廢棄物在雨水淋溶及厭氧發酵下，會產生含有高濃度有機物、氨氮及重金屬的黑褐色「垃圾滲出水」（Leachate）。若掩埋場底部不透水布破損或防滲設施不良，滲出水會迅速下滲進入含水層，造成嚴重的地下水資源與土壤污染。
【其他選項解析】空氣污染主要來自掩埋場逸散之沼氣（甲烷）；液態滲出水外洩最直接且致命的受體為地下水。"
433,暑期練習7/27,下列何者不屬於二日綠色旅遊行程的必要條件？,環保餐廳/綠食飯桌用餐,環境教育設施場所或生態遊憩場所,搭乘大眾運輸,環保標章旅館住宿,(C) 搭乘大眾運輸,"【正確解析】環境部推動之二日「綠色旅遊」行程規範，其核心認證與必要條件包含：造訪環境教育設施場所或生態遊憩場所、在環保餐廳（綠食飯店）用餐、以及入住環保標章旅館。交通方面雖鼓勵優先搭乘大眾運輸或共乘，但考量部分偏遠自然景點交通可及性，「搭乘大眾運輸」並非強制綁定的必要要件。
【其他選項解析】環保餐廳、環教設施場所、環保標章旅館皆為二日綠色旅遊之必備三大支柱。"
434,暑期練習7/27,下列何者是利用垃圾焚化廠處理垃圾的最主要優點？,消除所有毒性,減少原本的垃圾體積,降低空氣污染,簡化處理垃圾的程序,(B) 減少原本的垃圾體積,"【正確解析】垃圾焚化技術（Incineration）最大的核心優點在於高效「減容」（Volume Reduction）。高溫焚化可將可燃性垃圾體積縮減約85%~90%、重量減少約70%~75%，大幅減緩掩埋場土地空間消耗，並可回收廢熱進行發電。
【其他選項解析】焚化無法消除所有毒性（會產生飛灰與底渣需進一步固化處理）；焚化若操作不當會產生空污（如戴奧辛、酸性氣體）；焚化廠運作程序亦相當繁複。"
435,暑期練習7/27,下列何者不是台灣針對「永續旅遊」所做出的努力？,環境部規定自114年起，旅宿業者不得主動提供一次性備品。,清境地區業者大量興建民宿，促使當地成為熱門旅遊景點。,龜山島管制每日登島人數，減少過多遊客造成的生態壓力。,「台灣好行」景點接駁公車規劃，提升各景點的大眾運輸可及性。,(B) 清境地區業者大量興建民宿，促使當地成為熱門旅遊景點。,"【正確解析】在陡峭脆弱的山坡地超限超載大量興建民宿，會破壞水土保持、加劇崩塌與土石流風險，並引發過度旅遊（Overtourism）破壞高山生態環境，屬於非永續的過度開發行為，絕非永續旅遊的努力。
【其他選項解析】
• 旅宿業限制一次用備品落實源頭減塑。
• 龜山島實施登島承載量管制保護島嶼生態。
• 台灣好行接駁公車提供低碳大眾運輸選擇。"
436,暑期練習7/27,購買環保標章產品能夠實踐哪一項理念？,增加商品包裝，提升吸引力,搭配促銷活動，大量採購囤貨,提升使用效率，減少資源浪費,使用化學塗料，提高產品耐久性,(C) 提升使用效率，減少資源浪費,"【正確解析】環保標章產品自原料取得、生產製造、使用到廢棄回收皆經過嚴格的生命週期評估（LCA）。選購環保標章產品能實踐「提升能源與資源使用效率、減少資源浪費與環境污染」的綠色生產與永續消費理念。
【其他選項解析】過度包裝、盲目大量囤貨、濫用化學塗料皆與環保與綠色生活原則背道而馳。"
437,暑期練習7/27,海上油輪漏油後，要用什麼方法清理油污？,自然分解,用吸油棉清理,用洗潔劑分解油污,加更多水稀釋油污,(B) 用吸油棉清理,"【正確解析】海上發生油輪溢油事故時，標準緊急應變措施為首先布設攔油索圍堵油膜擴散，接著使用親油疏水的「吸油棉」（Oil Absorbent Pads/Booms）或吸油氈吸附清除海面浮油，配合汲油器回收，能有效進行物理移除且不造成二次化學污染。
【其他選項解析】原油自然分解極為緩慢且會毒害海洋生物；普通洗潔劑具化學毒性會乳化下沉傷害海底生態；加水稀釋無法清除漂浮油污。"
438,暑期練習7/27,下列何種空氣污染物是機車排氣檢驗的檢測項目？,懸浮固體及氨氮,一氧化碳及碳氫化合物,懸浮微粒及硫氧化物,氮氧化物及鉛,(B) 一氧化碳及碳氫化合物,"【正確解析】依據我國《使用中機車排放空氣污染物檢驗站設置及管理辦法》及排氣定檢標準，機車定檢站排氣分析儀主要檢測的氣狀污染物項目為「一氧化碳（CO）」與「碳氫化合物（HC）」（同時量測二氧化碳CO2作為燃燒完全度與稀釋判定）。
【其他選項解析】懸浮固體與氨氮為水質污染項目；硫氧化物、鉛、氮氧化物非一般機車年度排氣定檢項目。"
439,暑期練習7/27,釩液流電池與鋰電池相比，有哪些不同之處？,釩液流電池只能用一次。,釩液流電池用顏色顯示電力狀態，且更安全。,鋰電池體積比釩液流電池大很多。,相較於鋰電池，釩液流電池有較多爆炸的風險。,(B) 釩液流電池用顏色顯示電力狀態，且更安全。,"【正確解析】釩液流電池（VRFB）利用釩離子在不同氧化態（V2+紫色、V3+綠色、VO2+藍色、VO2+黃色）之間的氧化還原反應進行儲能，可透過電解液顏色直觀判斷電量狀態；且電解液為水溶液，具不燃性、無熱失控爆炸風險，本質安全性極高且循環壽命超長。
【其他選項解析】釩液流電池可循環充放電數萬次；其能量密度低於鋰電池故體積比鋰電池龐大得多；鋰電池具起火爆炸風險而釩液流電池極為安全。"
440,暑期練習7/27,當湖泊養分過多時，會對河川或湖泊中的生物棲息環境造成何種影響？,魚類會大量繁殖,增加水中氧氣,藻類會大量繁殖,增加魚類的活動空間,(C) 藻類會大量繁殖,"【正確解析】當湖泊水體匯入過量氮、磷營養鹽（即水體優養化 Eutrophication），會刺激浮游微藻與藍綠菌爆發性大量繁殖（形成藻華 / 水華）。藻類死亡後被好氧細菌分解，會劇烈消耗水中溶解氧導致水體缺氧甚至死區，造成魚蝦窒息死亡、水質惡化。
【其他選項解析】藻華爆發會遮蔽陽光並消耗溶氧，造成魚類死亡而非大量繁殖，水體含氧量亦會驟降。"
441,暑期練習7/27,下列何者並非天然濕地所具有的功能？,調節水資源,具備觀光與遊憩功能,生物棲地與食物來源,重要軍事戰略地形,(D) 重要軍事戰略地形,"【正確解析】天然濕地被譽為「地球之腎」，其生態系服務功能包括：水文調節（防洪蓄水、涵養水源）、淨化水質（過濾沉降污染物）、提供生物多樣性棲息與繁衍場所以及環境教育與生態觀光遊憩等。「重要軍事戰略地形」非天然濕地之典型生態功能與價值。
【其他選項解析】調節水資源、觀光遊憩、提供生物棲地皆為國際拉姆薩公約與濕地保育法肯認之核心功能。"
442,暑期練習7/27,以下哪一種細菌對珊瑚的生長有重要的影響？,鏈黴菌,葡萄球菌,乳酸菌,綠硫菌,(D) 綠硫菌,"【正確解析】在海洋生態與微生物研究（如環境部微電影《看不見的多樣性》）中指出，珊瑚共生微生物群落（如綠硫菌 Green Sulfur Bacteria 等光合與硫循環細菌）在珊瑚全共生體（Coral Holobiont）中扮演關鍵角色，能協助硫循環代謝與光能輔助利用，維持珊瑚健康並提升其抗逆境能力。
【其他選項解析】鏈黴菌為常見土壤放線菌；葡萄球菌為病原或共生球菌；乳酸菌主要存在於發酵食品與動物腸道。"
443,暑期練習7/27,關於土壤的敘述，下列何者正確？,土壤是由岩石風化後產生的碎屑組成，成分非常單純。,土壤只是植物需要的，對動物沒有太大的幫助。,土壤裡除了有岩石碎屑，還混有生物遺體腐化後的物質，並有分解者幫忙分解。,健康的土壤應該越乾淨越好，不可以有生物或枯葉殘渣。,(C) 土壤裡除了有岩石碎屑，還混有生物遺體腐化後的物質，並有分解者幫忙分解。,"【正確解析】土壤是由岩石風化形成的礦物質顆粒、動植物遺體分解轉化之有機質（腐植質）、水分、空氣以及龐大的土壤生物（細菌、真菌、蚯蚓等分解者）共同組成的動態多相生態系統。
【其他選項解析】
• 土壤成分包含礦物、有機質、水分、氣體與生物，極其複雜。
• 土壤是陸域所有動植物生存與陸地食物網的根本基石。
• 健康的土壤必須富含有機質與旺盛的土壤微生物活性，絕非無生物的無菌狀態。"
444,暑期練習7/27,氣象局針對山區發布「土石流黃色警戒」訊息。下列哪項是居民應採取的正確行動？,馬上返家收拾行李,前往山區觀察情況,注意政府指示並準備撤離,進入山區幫忙拍攝影片,(C) 注意政府指示並準備撤離,"【正確解析】依據農業部農村發展及水土保持署土石流防災應變規範：
• 「黃色警戒」（預測雨量大於警戒基準值）：地方政府進行疏散避難勸告，保全住戶應檢視物資、注意廣播與官方訊息，並做好隨時撤離的避難準備。
• 「紅色警戒」（實際降雨已達警戒基準值）：地方政府強制疏散撤離。
【其他選項解析】切勿冒險進入山區勘查、逗留或拍攝，以免遭遇暴雨洪水泥石流受困。"
445,暑期練習7/27,台灣的離岸風機主要建在哪裡？,台灣西部的沿岸地帶。,臺南、高雄與屏東外海。,宜蘭、花蓮與台東外海。,新竹、苗栗與彰化外海。,(D) 新竹、苗栗與彰化外海。,"【正確解析】臺灣海峽具有顯著的中央山脈與福建武夷山形成的「峽管效應」，秋冬東北季風風力強勁，其中以「新竹、苗栗、臺中、彰化外海」風能密度最高（名列全球最佳風場之一），且西海岸具廣闊平緩的大陸棚淺海，最適合固定式離岸風機水下基礎之建置。
【其他選項解析】東部外海水深過深（深達數百至上千米）；南部外海風速相對較弱。"
